_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,EXTERIOR GROUNDS,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,POOLS,OTHER AMENITIES,PARKING AREAS,ELEVATOR MAINTENANCE,INTERIOR HALLWAY FLOORS,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y,BUILDING SCORE CATEGORY
1029,4225861,2017,1960,2023,PRIVATE,Beaches-East York,2893 ST CLAIR AVE E,3,12,2023-10-19,97,97,0,39,3,3,-1,2,3,3,3,3,3,-1,-1,3,3,-1,-1,3,-1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,S1927,43,-79,320746,4840643,Excellent
1030,4225861,2017,1960,2025,PRIVATE,Beaches-East York,2893 ST CLAIR AVE E,3,12,2025-11-05,99,99,0,36,3,3,-1,2,3,3,3,3,3,-1,-1,3,3,-1,-1,3,-1,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1927,43,-79,320746,4840643,Excellent
1031,4225867,2017,1960,2024,PRIVATE,Beaches-East York,2897 ST CLAIR AVE E,3,12,2024-06-21,87,87,0,37,3,3,-1,1,3,3,3,3,3,-1,-1,3,3,-1,-1,3,-1,3,-1,3,3,3,2,3,3,3,3,1,1,1,1,1,1,S1927,43,-79,320768,4840650,Good
1032,5382561,2024,1960,2024,PRIVATE,Beaches-East York,2901 ST CLAIR AVE E,3,12,2024-09-05,79,79,0,36,3,2,-1,3,2,2,3,3,2,0,-1,3,3,-1,-1,3,-1,2,-1,3,2,2,3,1,3,3,3,3,1,1,1,1,1,S1927,43,-79,320787,4840652,Good
1033,4902355,2025,1960,2023,PRIVATE,Beaches-East York,2902 ST CLAIR AVE E,3,12,2023-09-21,80,80,0,36,2,3,-1,3,2,2,2,2,2,2,-1,3,3,-1,-1,2,-1,2,-1,3,3,2,3,3,3,2,3,3,3,3,1,3,1,S1924,43,-79,320754,4840705,Good
1034,4902355,2025,1960,2025,PRIVATE,Beaches-East York,2902 ST CLAIR AVE E,3,12,2025-12-05,93,93,0,38,3,3,-1,3,3,2,3,2,2,3,-1,3,2,-1,-1,3,-1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S1924,43,-79,320754,4840705,Excellent
1035,4269412,2017,1960,2024,PRIVATE,Beaches-East York,2903 ST CLAIR AVE E,3,12,2024-09-23,75,80,-5,34,3,2,-1,2,2,2,3,3,2,1,-1,3,2,-1,-1,-1,-1,2,-1,3,2,2,3,3,3,2,3,3,3,3,1,3,3,S1927,43,-79,320800,4840660,Good
1036,5355318,2023,1940,2024,PRIVATE,Beaches-East York,2905 ST CLAIR AVE E,3,12,2024-06-21,83,83,0,36,3,1,-1,1,3,2,2,3,3,3,-1,3,3,-1,-1,-1,-1,3,-1,3,1,3,3,3,1,2,3,1,3,3,1,3,3,S1927,43,-79,320815,4840664,Good
1037,4154065,2017,1950,2023,PRIVATE,Beaches-East York,2908 ST CLAIR AVE E,4,31,2023-08-08,79,79,0,38,2,2,-1,2,2,2,3,3,2,2,-1,2,3,-1,-1,1,-1,3,3,3,2,2,2,1,3,2,2,3,3,3,3,3,3,S1924,43,-79,320808,4840730,Good
1038,4154065,2017,1950,2025,PRIVATE,Beaches-East York,2908 ST CLAIR AVE E,4,31,2025-12-10,85,85,0,38,3,2,-1,1,3,3,3,2,3,3,-1,2,2,-1,-1,2,-1,3,3,3,2,2,3,1,3,3,3,3,3,3,3,3,3,S1924,43,-79,320808,4840730,Good
